Wavelength in Air, Laser Power, # Photons
nm, mW, n
                         401.0,                     0.00235091,         4.745736825684948e+24
                         402.0,                      0.0034209,         6.922926280022692e+24
                         403.0,                     0.00401653,         8.148531262738541e+24
                         404.0,                     0.00336299,         6.839592318438806e+24
                         405.0,                      0.0512539,        1.0449733512694666e+26
                         406.0,                      0.0636633,        1.3011832230952961e+26
                         407.0,                      0.0958245,         1.963334263911333e+26
                         408.0,                        0.12462,         2.559594597612529e+26
                         409.0,                      0.0916592,         1.887220499236658e+26
                         410.0,                       0.151079,        3.1182521690883096e+26
                         411.0,                        0.17043,         3.526234098491246e+26
                         412.0,                        0.22211,         4.606685915441691e+26
                         413.0,                       0.263557,        5.4795876975594963e+26
                         414.0,                       0.298573,          6.22263242701514e+26
                         415.0,                       0.324004,         6.768956815425023e+26
                         416.0,                       0.282241,        5.9106699297452346e+26
                         417.0,                       0.250535,         5.259297471329715e+26
                         418.0,                       0.223355,         4.699971620868499e+26
                         419.0,                       0.226802,        4.7839229665184783e+26
                         420.0,                       0.230472,        4.8729363178258184e+26
                         421.0,                       0.279629,        5.9263538711952814e+26
                         422.0,                       0.299357,         6.359531806142878e+26
                         423.0,                       0.315454,         6.717376350076706e+26
                         424.0,                       0.337033,         7.193852974046373e+26
                         425.0,                       0.357586,         7.650550956423142e+26
                         426.0,                       0.359208,         7.703336589297735e+26
                         427.0,                       0.370958,         7.973993756715915e+26
                         428.0,                        0.38197,          8.22993297932823e+26
                         429.0,                        0.39023,         8.427547731879397e+26
                         430.0,                       0.401635,         8.694072997032676e+26
                         431.0,                       0.408636,         8.866192767851271e+26
                         432.0,                       0.410445,         8.926104998304182e+26
                         433.0,                       0.411764,          8.97551847779886e+26
                         434.0,                       0.407063,         8.893539398370455e+26
                         435.0,                       0.407692,         8.927805522908928e+26
                         436.0,                       0.410131,         9.001862211598808e+26
                         437.0,                       0.416502,         9.162664885456365e+26
                         438.0,                       0.420986,          9.28250173028915e+26
                         439.0,                       0.415322,         9.178521547448712e+26
                         440.0,                       0.418311,         9.265636029955253e+26
                         441.0,                       0.418177,         9.283719432765888e+26
                         442.0,                       0.414221,         9.216746803368621e+26
                         443.0,                       0.407928,          9.09725811804343e+26
                         444.0,                       0.406906,         9.094950478970558e+26
                         445.0,                       0.402815,         9.023788759743234e+26
                         446.0,                       0.395815,         8.886901814883627e+26
                         447.0,                       0.392118,         8.823635855917744e+26
                         448.0,                       0.387676,         8.743195806631919e+26
                         449.0,                       0.393848,         8.902218718888641e+26
                         450.0,                       0.391095,          8.85968033250439e+26
                         451.0,                       0.378981,         8.604333877127744e+26
                         452.0,                       0.378273,         8.607302244011074e+26
                         453.0,                        0.39078,         8.911561435299113e+26
                         454.0,                       0.391803,         8.954614308405107e+26
                         455.0,                       0.382201,         8.754402102685465e+26
                         456.0,                       0.374891,         8.605837316065597e+26
                         457.0,                       0.360575,         8.295357114443612e+26
                         458.0,                       0.373318,         8.607314728620367e+26
                         459.0,                       0.372453,         8.606120787174223e+26
                         460.0,                       0.355698,         8.236876033013448e+26
                         461.0,                       0.349091,         8.101451801087986e+26
                         462.0,                       0.344765,         8.018412989763355e+26
                         463.0,                       0.341846,         7.967732926519257e+26
                         464.0,                       0.338786,         7.913465451067241e+26
                         465.0,                       0.328325,         7.685642525068898e+26
                         466.0,                       0.331392,         7.774119491247063e+26
                         467.0,                       0.334932,         7.874025160752418e+26
                         468.0,                       0.336899,         7.937227891213164e+26
                         469.0,                       0.331235,         7.820460699690731e+26
                         470.0,                       0.315725,         7.470163454463753e+26
                         471.0,                       0.316211,         7.497580814321886e+26
                         472.0,                       0.319593,          7.59385905039195e+26
                         473.0,                       0.315818,         7.520059806427606e+26
                         474.0,                       0.308031,          7.35014729439586e+26
                         475.0,                       0.301895,          7.21892957034407e+26
                         476.0,                       0.293793,          7.03998399041706e+26
                         477.0,                       0.286162,         6.871532681084464e+26
                         478.0,                       0.284039,         6.834852496247115e+26
                         479.0,                       0.282152,         6.803649329643847e+26
                         480.0,                       0.277998,         6.717476931727395e+26
                         481.0,                       0.280829,         6.800021795526218e+26
                         482.0,                       0.281257,          6.82454423626296e+26
                         483.0,                        0.28688,         6.975425068930506e+26
                         484.0,                       0.288665,         7.033358690174861e+26
                         485.0,                       0.293024,         7.154317438244511e+26
                         486.0,                       0.293338,          7.17675087159454e+26
                         487.0,                       0.297175,         7.285586308921477e+26
                         488.0,                       0.297879,         7.317841253516664e+26
                         489.0,                       0.298897,         7.357896763227419e+26
                         490.0,                       0.302578,         7.463743445498588e+26
                         491.0,                       0.296251,         7.322587871765832e+26
                         492.0,                       0.291145,         7.211036830552618e+26
                         493.0,                       0.291302,         7.229589866105635e+26
                         494.0,                       0.293435,         7.297298936427791e+26
                         495.0,                        0.29232,         7.284286248296327e+26
                         496.0,                       0.287778,         7.185591787257227e+26
                         497.0,                       0.286681,         7.172632410421097e+26
                         498.0,                       0.285224,         7.150537420733523e+26
                         499.0,                        0.28535,         7.168061080113718e+26
                         500.0,                       0.289892,         7.296750721124485e+26
                         501.0,                        0.29506,         7.441685959980065e+26
                         502.0,                       0.295469,         7.466875572196577e+26
                         503.0,                       0.294356,         7.453566878006027e+26
                         504.0,                       0.286525,         7.269697378241395e+26
                         505.0,                        0.28582,         7.266198667168871e+26
                         506.0,                       0.287726,          7.32913801264643e+26
                         507.0,                       0.287621,         7.340942563122796e+26
                         508.0,                       0.286447,         7.325398670797981e+26
                         509.0,                       0.278341,         7.132113409590274e+26
                         510.0,                       0.276947,         7.110335871298718e+26
                         511.0,                       0.274432,         7.059581001081185e+26
                         512.0,                       0.270067,         6.960889761876743e+26
                         513.0,                       0.264968,         6.842803480768219e+26
                         514.0,                       0.259814,         6.722780675666344e+26
                         515.0,                       0.252137,         6.536828410819649e+26
                         516.0,                       0.241447,         6.271837393398131e+26
                         517.0,                       0.238533,         6.208151236715378e+26
                         518.0,                       0.241892,         6.307750982951847e+26
                         519.0,                       0.241673,         6.314206281074738e+26
                         520.0,                       0.238597,         6.245850679151078e+26
                         521.0,                       0.237595,         6.231581727209327e+26
                         522.0,                       0.234442,          6.16068772230551e+26
                         523.0,                       0.226204,        5.9555961990217745e+26
                         524.0,                       0.219607,         5.792962818302872e+26
                         525.0,                        0.21859,        5.7771396835274215e+26
                         526.0,                       0.245211,         6.493053292997718e+26
                         527.0,                       0.285084,         7.563220006900604e+26
                         528.0,                       0.222501,         5.914106821865283e+26
                         529.0,                       0.199762,         5.319757363333101e+26
                         530.0,                        0.19282,         5.144595375139903e+26
                         531.0,                       0.185245,         4.951813626279639e+26
                         532.0,                       0.345287,         9.247303992123221e+26
                         533.0,                       0.177921,         4.773948116080127e+26
                         534.0,                       0.169398,         4.553788021765777e+26
                         535.0,                        0.16338,         4.400235784756153e+26
                         536.0,                       0.156266,         4.216504421152429e+26
                         537.0,                       0.152409,         4.120103956730077e+26
                         538.0,                        0.14922,         4.041406970334699e+26
                         539.0,                       0.144311,          3.91571861933016e+26
                         540.0,                       0.139094,         3.781163275938682e+26
                         541.0,                       0.135925,         3.701859074392846e+26
                         542.0,                       0.130286,         3.554842077278533e+26
                         543.0,                        0.12439,        3.4002321723605095e+26
                         544.0,                       0.119501,         3.272605938151124e+26
                         545.0,                       0.116373,         3.192802150868832e+26
                         546.0,                       0.110341,        3.0328632810874384e+26
                         547.0,                      0.0995649,        2.7416806256323523e+26
                         548.0,                       0.095106,        2.6236853462505308e+26
                         549.0,                      0.0893132,        2.4683757393909354e+26
                         550.0,                      0.0920839,        2.5495860185926156e+26
                         551.0,                      0.0922479,        2.5587706587061243e+26
                         552.0,                      0.0920214,        2.5571204702337726e+26
                         553.0,                      0.0898607,         2.501601931213972e+26
                         554.0,                      0.0868441,        2.4219956474302526e+26
                         555.0,                      0.0818229,        2.2860784294952648e+26
                         556.0,                      0.0799253,         2.237084256678808e+26
                         557.0,                      0.0825874,         2.315753152703273e+26
                         558.0,                      0.0839625,        2.3585377678011626e+26
                         559.0,                      0.0856649,         2.410671286238888e+26
                         560.0,                      0.0831114,         2.342997902769671e+26
                         561.0,                       0.124037,         3.502977838774592e+26
                         562.0,                      0.0804094,        2.2749214828872494e+26
                         563.0,                      0.0797847,         2.261264090538625e+26
                         564.0,                      0.0789413,         2.241334380139145e+26
                         565.0,                      0.0783642,        2.2288940610026766e+26
                         566.0,                      0.0770203,          2.19454712882372e+26
                         567.0,                      0.0751544,        2.1451652132404442e+26
                         568.0,                      0.0760179,         2.173639304661278e+26
                         569.0,                      0.0750998,        2.1511679644128662e+26
                         570.0,                      0.0744288,        2.1356945899941025e+26
                         571.0,                      0.0727746,        2.0918917643941243e+26
                         572.0,                      0.0718729,        2.0695907383802533e+26
                         573.0,                      0.0689982,        1.9902867784720172e+26
                         574.0,                      0.0668993,         1.933110771647187e+26
                         575.0,                      0.0630526,         1.825131325447373e+26
                         576.0,                      0.0646778,        1.8754305980397476e+26
                         577.0,                      0.0642854,         1.867288568791735e+26
                         578.0,                      0.0644571,        1.8755207590689692e+26
                         579.0,                      0.0643713,         1.876264746134721e+26
                         580.0,                      0.0644432,        1.8816045997924075e+26
                         581.0,                      0.0633647,        1.8533045428183195e+26
                         582.0,                      0.0624206,         1.828833626265502e+26
                         583.0,                      0.0626313,        1.8381597653298402e+26
                         584.0,                      0.0610802,        1.7957115349406944e+26
                         585.0,                      0.0596897,        1.7578367391196858e+26
                         586.0,                      0.0596039,        1.7583104948036054e+26
                         587.0,                      0.0585974,        1.7315686831953537e+26
                         588.0,                      0.0581084,         1.720043848376591e+26
                         589.0,                      0.0547897,          1.62456649495867e+26
                         590.0,                      0.0542357,         1.610870158683633e+26
                         591.0,                      0.0518247,        1.5418692685852837e+26
                         592.0,                      0.0505222,          1.50566111776396e+26
                         593.0,                      0.0483292,        1.4427383445984169e+26
                         594.0,                      0.0456919,           1.3663090263897e+26
                         595.0,                      0.0441236,          1.32163392932935e+26
                         596.0,                      0.0400424,        1.2014055510399103e+26
                         597.0,                      0.0384667,        1.1560657542510639e+26
                         598.0,                      0.0364302,        1.0966953810121297e+26
                         599.0,                      0.0351153,        1.0588793534689064e+26
                         600.0,                      0.0313976,         9.483550857902037e+25
                         601.0,                      0.0283858,         8.588135448955953e+25
                         602.0,                       0.026494,         8.029107970588649e+25
                         603.0,                       0.024088,          7.31208665409044e+25
                         604.0,                      0.0218372,         6.639833132876597e+25
                         605.0,                      0.0198438,           6.0437082420839e+25
                         606.0,                      0.0186389,         5.686122049016607e+25
                         607.0,                      0.0175186,         5.353174031027865e+25
                         608.0,                      0.0179875,         5.505511334324909e+25
                         609.0,                      0.0183766,         5.633855836298075e+25
                         610.0,                      0.0186265,         5.719846401921088e+25
                         611.0,                      0.0213507,        6.5671449687983225e+25
                         612.0,                      0.0188849,        5.8182099201315414e+25
                         613.0,                      0.0192484,        5.9398897550702976e+25
                         614.0,                      0.0187946,         5.809312420997697e+25
                         615.0,                       0.018457,         5.714253498321699e+25
                         616.0,                      0.0196127,         6.081929370028154e+25
                         617.0,                      0.0203505,        6.3209669990548514e+25
                         618.0,                       0.020515,         6.382389011432598e+25
                         619.0,                      0.0215071,         6.701866589062788e+25
                         620.0,                      0.0202466,         6.319272263684254e+25
                         621.0,                      0.0201206,         6.290074689154789e+25
                         622.0,                      0.0196849,         6.163776354235635e+25
                         623.0,                      0.0200212,         6.279158207196847e+25
                         624.0,                      0.0188205,         5.912062567775599e+25
                         625.0,                      0.0190423,         5.991322469094904e+25
                         626.0,                      0.0193173,         6.087570903194392e+25
                         627.0,                      0.0191162,        6.0338204315224464e+25
                         628.0,                      0.0189349,         5.986127109687454e+25
                         629.0,                       0.018791,         5.950093808839773e+25
                         630.0,                      0.0190045,         6.027264803454699e+25
                         631.0,                      0.0182752,           5.8051677320765e+25
                         632.0,                      0.0178449,         5.677465079976351e+25
                         633.0,                       0.017494,         5.574630762768041e+25
                         634.0,                      0.0170493,        5.4415056622583116e+25
                         635.0,                      0.0166056,        5.3082524938209775e+25
                         636.0,                       0.016117,         5.160176972998432e+25
                         637.0,                      0.0155638,         4.990894027595073e+25
